INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000115, D1 = 38.2664 %, MAE = 3.90467 px, Bad1 = 68.6517 %, Bad3 = 33.8014 %
Frame 000116, D1 = 35.9418 %, MAE = 3.66493 px, Bad1 = 68.7109 %, Bad3 = 30.4781 %
Frame 000117, D1 = 30.1798 %, MAE = 2.65281 px, Bad1 = 69.3298 %, Bad3 = 26.9891 %
Frame 000118, D1 = 38.0329 %, MAE = 4.19734 px, Bad1 = 78.3772 %, Bad3 = 34.9755 %
Frame 000119, D1 = 35.6854 %, MAE = 3.64003 px, Bad1 = 67.4901 %, Bad3 = 31.5253 %
Frame 000120, D1 = 29.4405 %, MAE = 3.46151 px, Bad1 = 72.6944 %, Bad3 = 27.2417 %
Frame 000121, D1 = 30.9364 %, MAE = 2.47393 px, Bad1 = 66.6206 %, Bad3 = 26.2277 %
Frame 000122, D1 = 28.2567 %, MAE = 2.90934 px, Bad1 = 62.4468 %, Bad3 = 24.9139 %
Frame 000123, D1 = 28.6083 %, MAE = 2.76228 px, Bad1 = 67.425 %, Bad3 = 24.153 %
Frame 000124, D1 = 29.7163 %, MAE = 2.36594 px, Bad1 = 66.1892 %, Bad3 = 25.1056 %
Frame 000125, D1 = 27.3611 %, MAE = 2.50601 px, Bad1 = 67.0116 %, Bad3 = 24.0566 %
Frame 000126, D1 = 27.7234 %, MAE = 3.17733 px, Bad1 = 67.9374 %, Bad3 = 24.5808 %
Frame 000127, D1 = 29.6316 %, MAE = 2.49253 px, Bad1 = 66.1872 %, Bad3 = 24.2953 %
Frame 000128, D1 = 23.3373 %, MAE = 1.94362 px, Bad1 = 64.2567 %, Bad3 = 18.9484 %
Frame 000129, D1 = 26.9906 %, MAE = 2.32182 px, Bad1 = 65.2974 %, Bad3 = 23.4944 %
Frame 000130, D1 = 32.2586 %, MAE = 2.5172 px, Bad1 = 65.8863 %, Bad3 = 28.8828 %
Frame 000131, D1 = 32.2742 %, MAE = 3.37003 px, Bad1 = 69.3233 %, Bad3 = 28.9223 %
Frame 000132, D1 = 29.9672 %, MAE = 2.74518 px, Bad1 = 69.7619 %, Bad3 = 26.7206 %
Frame 000133, D1 = 33.1079 %, MAE = 2.95113 px, Bad1 = 68.7944 %, Bad3 = 29.7157 %
Frame 000134, D1 = 32.546 %, MAE = 3.11273 px, Bad1 = 70.1891 %, Bad3 = 29.7692 %
Frame 000135, D1 = 34.0722 %, MAE = 2.48419 px, Bad1 = 71.4686 %, Bad3 = 30.3671 %
Frame 000136, D1 = 43.7693 %, MAE = 5.2335 px, Bad1 = 75.283 %, Bad3 = 39.6017 %
Frame 000137, D1 = 38.7973 %, MAE = 3.98018 px, Bad1 = 73.0328 %, Bad3 = 35.2756 %
Frame 000138, D1 = 32.9359 %, MAE = 2.53071 px, Bad1 = 68.9567 %, Bad3 = 29.2084 %
Frame 000139, D1 = 34.1958 %, MAE = 2.5621 px, Bad1 = 70.07 %, Bad3 = 29.691 %
Frame 000140, D1 = 30.0377 %, MAE = 2.41346 px, Bad1 = 70.0718 %, Bad3 = 25.6218 %
Frame 000141, D1 = 36.894 %, MAE = 2.99987 px, Bad1 = 77.5379 %, Bad3 = 33.0184 %
Frame 000142, D1 = 37.7669 %, MAE = 2.98441 px, Bad1 = 75.6116 %, Bad3 = 34.4992 %
Frame 000143, D1 = 34.1384 %, MAE = 3.57132 px, Bad1 = 73.1817 %, Bad3 = 32.8708 %
Frame 000144, D1 = 32.3055 %, MAE = 3.93475 px, Bad1 = 67.5036 %, Bad3 = 32.381 %
Frame 000145, D1 = 26.1923 %, MAE = 2.98584 px, Bad1 = 67.9029 %, Bad3 = 22.1037 %
